val_accuracy,val_precision,val_recall,val_f1,sparsity,active_neurons,avg_entropy
0.8393,0.8672282642402976,0.8369741449891134,0.8332302777419768,0.5,64,0.18941311538219452
0.8645,0.8851190249507814,0.8632431421330272,0.8597941292593045,0.5,64,0.049356285482645035
0.8658,0.8766447203493957,0.8652536223607351,0.8651743423246959,0.5,64,0.025563126429915428
0.8792,0.8912763831697259,0.8765178336562341,0.8776638065145187,0.5,64,0.021613767370581627
0.8391,0.868470320608288,0.8374934477355428,0.8357588575688164,0.5,64,0.017059093341231346
0.891,0.9033339044982899,0.8897143295992571,0.8893215176347417,0.5,64,0.014279574155807495
0.8849,0.9040642130629107,0.8805920799565365,0.8827505681147443,0.5,64,0.010764708742499352
0.9159,0.9184837956169298,0.9134369245106218,0.9141028502565394,0.5,64,0.009795532561838627
0.9221,0.9257366379574818,0.9209197978726366,0.9214527830170265,0.5,64,0.008353798650205135
0.9277,0.9294108929475102,0.9262544191402806,0.9267645877450643,0.5,64,0.0069738333113491535
